,HBA,HBD,HBA:HBD,T(K),Tc(K),Pc(bar),Fator Acentrico,Density(kg/m3),Calculado Model 1,Calculado Model 2,Calculado Model 3
131,Allyl triphenylphosphonium bromide,Diethylene glycol,1;10,293.15,709.6,32.969,1.0068,1159.8999999999999,1145.89,1147.5734,1167.8044
1225,Trimethylglicine,2-Chloro benzoic acid,1;2,373.15,745.01,38.678,0.5852,1220.0,1199.6283,1230.7539,1197.7512
1122,Tetrabutylammonium chloride,Glycerol,1;5,343.15,715.64,28.558,1.3576,1006.9999999999999,1080.6432,1023.457,1126.9414
416,Choline chloride,D-Ribose,1;1,298.15,752.84,26.956,1.326,1267.0,1236.9656,1264.6545,1241.7966
269,Betaine,Levulinic acid,1;2,323.15,701.24,38.938,0.6195,1140.6000000000001,1120.8091,1134.8572,1126.8927
33,Acetyl choline chloride,D-Mannose,1;1,293.15,846.26,23.489,1.4097,1275.0,1255.9149,1248.5984,1251.1477
576,Choline chloride,Glycerol,1;2.03,343.15,681.0,33.502,1.2277,1167.4,1158.1436,1156.8477,1146.486
173,Allyl triphenylphosphonium bromide,Triethylene glycol,1;10,338.15,776.85,26.338,1.0689,1125.5,1167.5746,1143.9137,1184.4879
587,Choline chloride,Glycerol,1;3,323.15,688.99,34.58,1.2835,1189.1000000000001,1195.783,1201.9758,1173.5057
1236,Trimethylglicine,Phenylacetic acid,1;2,333.15,725.69,37.334,0.5804,1130.0,1153.6298,1137.0421,1147.8398
928,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2.03,298.15,610.36,39.62,0.9203,1099.5,1087.6266,1102.1614,1101.5911
79,Acetyl choline chloride,Guaiacol,1;4,323.15,716.52,41.858,0.5089,1131.6999999999998,1122.9993,1121.6385,1146.4836
38,Acetyl choline chloride,D-Mannose,1;1,318.15,846.26,23.489,1.4097,1259.0,1243.6565,1238.4235,1240.0934
392,Choline chloride,D-Fructose,2.5;1,338.15,724.47,27.049,1.1611,1237.9,1105.1367,1135.0999,1105.0609
197,Benzyl tripropyl ammonium Chloride,Glycerol,1;3,293.15,735.27,27.577,1.2862,1133.0,1169.2389,1184.6163,1182.6964
407,Choline chloride,D-Mannose,1;1,318.15,807.51,24.301,1.4966,1267.0,1256.8462,1304.4755,1282.7179
234,Benzyl tripropyl ammonium Chloride,Phenol,1;3,308.15,701.16,37.822,0.5152,1050.5,1060.2169,1052.5499,1092.9631
1120,Tetrabutylammonium chloride,Glycerol,1;5,323.15,715.64,28.558,1.3576,1020.0,1084.7201,1039.8917,1129.6582
461,Choline chloride,Ethylene glycol,1;2,303.15,602.0,40.993,0.9155,1113.8999999999999,1086.651,1106.7588,1105.2655
362,Choline chloride,"2,3-butanediol",1;4,313.15,641.64,35.04,0.9405,1026.5,1085.8572,1077.8905,1071.3083
852,Methyl triphenylphosphonium bromide,Ethylene glycol,1;5.25,303.15,666.5,42.132,0.9354,1216.3,1203.8179,1210.2346,1188.6003
721,Choline chloride,Phenol,1;2,318.2,651.15,44.498,0.5401,1084.3,1145.1566,1126.3611,1116.658
414,Choline chloride,D-Mannose,1;1,353.15,807.51,24.301,1.4966,1248.0,1254.0845,1292.7189,1267.3743
756,Choline chloride,Urea,1;2,303.15,644.44,49.536,0.6509,1187.8999999999999,1149.683,1155.465,1187.8958
501,Choline chloride,Ethylene glycol,1;2.03,348.15,601.93,41.105,0.9162,1088.5,1075.6636,1084.8558,1083.4727
1124,Tetrabutylammonium chloride,phenylacetic acid,1;2,288.15,773.43,24.934,0.7232,1046.8,1094.5177,1093.0,1063.7733
272,Betaine,Levulinic acid,1;2,338.15,701.24,38.938,0.6195,1130.1000000000001,1139.8143,1135.5403,1127.0967
1213,Tetrahexylammonium bromide,Glycerol,1;2,323.15,793.24,19.639,1.3155,1026.3,1069.3157,1060.7709,1034.3147
1065,Tetrabutylammonium chloride,Ethylene glycol,1;2,303.15,588.75,35.684,0.8377,1099.0,1011.6096,1040.0947,1048.5024
1158,Tetrabutylammonium chloride,Triethylene glycol,2;1,343.15,763.73,16.172,0.9405,976.0,988.85645,976.08527,995.02637
899,Methyl triphenylphosphonium bromide,Glycerol,1;3,353.15,801.64,30.416,1.2518,1259.3000000000002,1266.4232,1291.4874,1262.2432
629,Choline chloride,Levulinic acid,1;1,328.15,681.5,32.89,0.7378,1116.7,1095.2627,1129.2139,1122.0232
881,Methyl triphenylphosphonium bromide,Glycerol,1;2.03,338.15,831.16,28.884,1.1859,1278.2,1260.7213,1285.188,1277.2983
487,Choline chloride,Ethylene glycol,1;2,333.15,602.0,40.993,0.9155,1094.7,1082.192,1089.0131,1085.3623
577,Choline chloride,Glycerol,1;2.03,348.15,681.0,33.502,1.2277,1165.5,1155.2737,1150.5605,1144.786
482,Choline chloride,Ethylene glycol,1;2,283.15,602.0,40.993,0.9155,1122.9,1096.8026,1123.6194,1122.2334
1026,"N,N diethylenethanol ammonium chloride",Glycerol,1;4,363.15,699.38,34.546,1.3207,1180.7,1185.3539,1189.733,1186.6605
1205,Tetrahexylammonium bromide,Ethylene glycol,1;2,338.15,710.19,22.824,1.0056,978.9,1043.4933,1039.2302,1003.015
922,"N,N diethylenethanol ammonium chloride",Ethylene glycol,1;2,318.15,610.52,39.503,0.9195,1087.9,1083.4064,1089.4453,1085.1001
